ID_LOCALIDAD,LOCALIDAD,POBLACION_2020,POBLACION_2021,POBLACION_2022,POBLACION_2023,POBLACION_2024
1,Usaquen,564539,571268,579447,586954,594611
2,Chapinero,169786,173353,176471,179406,182103
3,Santa Fe,107458,107784,107630,107677,107906
4,San Cristobal,397410,401060,403674,406498,409106
5,Usme,384943,393366,400580,407645,414995
6,Tunjuelito,178667,180158,181476,182943,184492
7,Bosa,717694,722893,726293,729781,733740
8,Kennedy,1034379,1034838,1034293,1035224,1037929
9,Fontibon,386864,393532,399020,404252,408155
10,Engativa,811472,814100,815262,817019,819441
11,Suba,1227787,1252811,1273909,1294358,1313453
12,Barrios Unidos,143265,146876,150151,153342,156268
13,Teusaquillo,161222,167879,167657,166428,165438
14,Los Martires,83590,83426,83142,82848,83001
15,Antonio Narino,81472,82201,82958,83925,84979
16,Puente Aranda,250968,253367,255123,256731,258034
17,La Candelaria,17611,17877,18143,18409,18675
18,Rafael Uribe Uribe,380073,383960,386696,389238,391588
19,Ciudad Bolivar,641306,649834,656015,661592,666809
20,Sumapaz,3449,3584,3713,3825,3926
